Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
Buffalo Bills,Los Angeles Rams,31,10,413,4,243,3
New Orleans Saints,Atlanta Falcons,27,26,385,1,416,2
Cleveland Browns,Carolina Panthers,26,24,355,0,261,1
Chicago Bears,San Francisco 49ers,19,10,204,1,331,2
Pittsburgh Steelers,Cincinnati Bengals,23,20,267,0,432,5
Houston Texans,Indianapolis Colts,20,20,299,1,517,2
Philadelphia Eagles,Detroit Lions,38,35,455,0,386,1
Washington Commanders,Jacksonville Jaguars,28,22,390,3,383,1
Miami Dolphins,New England Patriots,20,7,307,0,271,3
Baltimore Ravens,New York Jets,24,9,274,1,380,2
Kansas City Chiefs,Arizona Cardinals,44,21,488,1,282,0
Minnesota Vikings,Green Bay Packers,23,7,395,0,338,2
New York Giants,Tennessee Titans,21,20,394,2,359,1
Los Angeles Chargers,Las Vegas Raiders,24,19,355,0,320,3
Tampa Bay Buccaneers,Dallas Cowboys,19,3,347,1,244,1
Seattle Seahawks,Denver Broncos,17,16,253,1,433,2
Kansas City Chiefs,Los Angeles Chargers,27,24,319,0,401,1
New York Giants,Carolina Panthers,19,16,265,0,275,2
New York Jets,Cleveland Browns,31,30,402,1,405,1
Jacksonville Jaguars,Indianapolis Colts,24,0,331,0,218,3
Detroit Lions,Washington Commanders,36,27,425,0,396,1
Miami Dolphins,Baltimore Ravens,42,38,547,2,473,0
Tampa Bay Buccaneers,New Orleans Saints,20,10,260,1,308,5
New England Patriots,Pittsburgh Steelers,17,14,376,1,243,2
Los Angeles Rams,Atlanta Falcons,31,27,337,3,261,3
San Francisco 49ers,Seattle Seahawks,27,7,373,0,216,3
Dallas Cowboys,Cincinnati Bengals,20,17,337,1,254,0
Arizona Cardinals,Las Vegas Raiders,29,23,413,1,324,1
Denver Broncos,Houston Texans,16,9,350,1,234,0
Green Bay Packers,Chicago Bears,27,10,414,1,228,1
Buffalo Bills,Tennessee Titans,41,7,414,0,187,4
Philadelphia Eagles,Minnesota Vikings,24,7,486,1,264,3
Cleveland Browns,Pittsburgh Steelers,29,17,376,0,308,1
Miami Dolphins,Buffalo Bills,21,19,212,0,497,1
Carolina Panthers,New Orleans Saints,22,14,293,0,426,3
Chicago Bears,Houston Texans,23,20,363,2,329,2
Cincinnati Bengals,New York Jets,27,12,330,1,328,4
Indianapolis Colts,Kansas City Chiefs,20,17,259,1,315,2
Minnesota Vikings,Detroit Lions,28,24,373,1,416,1
Baltimore Ravens,New England Patriots,37,26,394,2,447,4
Tennessee Titans,Las Vegas Raiders,24,22,361,1,396,1
Philadelphia Eagles,Washington Commanders,24,8,400,0,240,1
Jacksonville Jaguars,Los Angeles Chargers,38,10,413,0,312,2
Atlanta Falcons,Seattle Seahawks,27,23,386,2,420,1
Los Angeles Rams,Arizona Cardinals,20,12,339,1,365,0
Green Bay Packers,Tampa Bay Buccaneers,14,12,315,2,285,2
Denver Broncos,San Francisco 49ers,11,10,261,0,267,3
Dallas Cowboys,New York Giants,23,16,391,0,336,1
Cincinnati Bengals,Miami Dolphins,27,15,371,0,378,2
Minnesota Vikings,New Orleans Saints,28,25,344,1,338,2
Atlanta Falcons,Cleveland Browns,23,20,333,1,403,2
Buffalo Bills,Baltimore Ravens,23,20,326,2,296,2
New York Giants,Chicago Bears,20,12,333,2,304,3
Tennessee Titans,Indianapolis Colts,24,17,243,0,365,3
Dallas Cowboys,Washington Commanders,25,10,279,0,297,2
Seattle Seahawks,Detroit Lions,48,45,555,1,520,2
Los Angeles Chargers,Houston Texans,34,24,419,1,346,2
Philadelphia Eagles,Jacksonville Jaguars,29,21,401,1,219,4
New York Jets,Pittsburgh Steelers,24,20,348,2,297,4
Arizona Cardinals,Carolina Panthers,26,16,338,1,220,3
Las Vegas Raiders,Denver Broncos,32,23,385,0,299,1
Green Bay Packers,New England Patriots,27,24,443,2,271,1
Kansas City Chiefs,Tampa Bay Buccaneers,41,31,417,1,376,2
San Francisco 49ers,Los Angeles Rams,24,9,327,0,257,2
Indianapolis Colts,Denver Broncos,12,9,306,2,375,2
New York Giants,Green Bay Packers,27,22,338,0,301,0
Tampa Bay Buccaneers,Atlanta Falcons,21,15,420,0,261,0
Buffalo Bills,Pittsburgh Steelers,38,3,552,2,364,2
Minnesota Vikings,Chicago Bears,29,22,429,1,271,1
Los Angeles Chargers,Cleveland Browns,30,28,465,0,443,1
New England Patriots,Detroit Lions,29,0,364,1,312,2
Houston Texans,Jacksonville Jaguars,13,6,248,0,422,2
New York Jets,Miami Dolphins,40,17,322,0,295,2
New Orleans Saints,Seattle Seahawks,39,32,438,2,396,1
Tennessee Titans,Washington Commanders,21,17,241,0,385,1
San Francisco 49ers,Carolina Panthers,37,15,397,1,308,1
Philadelphia Eagles,Arizona Cardinals,20,17,357,0,363,1
Dallas Cowboys,Los Angeles Rams,22,10,239,0,323,3
Baltimore Ravens,Cincinnati Bengals,19,17,325,1,291,1
Kansas City Chiefs,Las Vegas Raiders,30,29,368,0,378,0
Washington Commanders,Chicago Bears,12,7,214,0,391,2
Atlanta Falcons,San Francisco 49ers,28,14,289,0,346,3
Cincinnati Bengals,New Orleans Saints,30,26,348,1,399,0
New England Patriots,Cleveland Browns,38,15,399,1,328,4
Indianapolis Colts,Jacksonville Jaguars,34,27,434,0,379,1
New York Jets,Green Bay Packers,27,10,278,0,278,1
Minnesota Vikings,Miami Dolphins,24,16,234,0,458,3
New York Giants,Baltimore Ravens,24,20,238,1,406,2
Pittsburgh Steelers,Tampa Bay Buccaneers,20,18,270,0,304,0
Los Angeles Rams,Carolina Panthers,24,10,360,1,203,1
Seattle Seahawks,Arizona Cardinals,19,9,296,1,315,2
Buffalo Bills,Kansas City Chiefs,24,20,443,1,387,2
Philadelphia Eagles,Dallas Cowboys,26,17,268,0,315,3
Los Angeles Chargers,Denver Broncos,19,16,297,1,258,1
Arizona Cardinals,New Orleans Saints,42,34,326,0,494,3
Cincinnati Bengals,Atlanta Falcons,35,17,537,0,214,0
Carolina Panthers,Tampa Bay Buccaneers,21,3,343,0,322,0
Baltimore Ravens,Cleveland Browns,23,20,254,1,336,2
Tennessee Titans,Indianapolis Colts,19,10,254,1,292,3
Dallas Cowboys,Detroit Lions,24,6,330,1,312,5
Washington Commanders,Green Bay Packers,23,21,364,1,232,1
New York Giants,Jacksonville Jaguars,23,17,436,0,452,1
Las Vegas Raiders,Houston Texans,38,20,400,0,404,1
New York Jets,Denver Broncos,16,9,260,0,324,1
Kansas City Chiefs,San Francisco 49ers,44,23,529,2,444,3
Seattle Seahawks,Los Angeles Chargers,37,23,404,2,329,2
Miami Dolphins,Pittsburgh Steelers,16,10,372,0,341,3
Chicago Bears,New England Patriots,33,14,390,1,260,4
Baltimore Ravens,Tampa Bay Buccaneers,27,22,453,0,349,1
Denver Broncos,Jacksonville Jaguars,21,17,331,1,305,2
Miami Dolphins,Detroit Lions,31,27,476,1,393,0
Philadelphia Eagles,Pittsburgh Steelers,35,13,401,0,302,2
Atlanta Falcons,Carolina Panthers,37,34,406,2,478,1
Dallas Cowboys,Chicago Bears,49,29,442,1,371,1
Minnesota Vikings,Arizona Cardinals,34,26,381,1,375,3
New Orleans Saints,Las Vegas Raiders,24,0,367,0,183,1
New England Patriots,New York Jets,22,17,288,1,387,3
Tennessee Titans,Houston Texans,17,10,354,2,161,1
San Francisco 49ers,Los Angeles Rams,31,14,368,0,223,0
Washington Commanders,Indianapolis Colts,17,16,362,1,324,2
Seattle Seahawks,New York Giants,27,13,277,1,225,2
Buffalo Bills,Green Bay Packers,27,17,369,2,398,1
Cleveland Browns,Cincinnati Bengals,32,13,440,2,229,2
Philadelphia Eagles,Houston Texans,29,17,360,1,303,2
New York Jets,Buffalo Bills,20,17,310,1,317,2
Detroit Lions,Green Bay Packers,15,9,254,1,389,3
Minnesota Vikings,Washington Commanders,20,17,301,1,263,1
Los Angeles Chargers,Atlanta Falcons,20,17,336,2,315,2
Cincinnati Bengals,Carolina Panthers,42,21,464,0,228,3
Miami Dolphins,Chicago Bears,35,32,379,0,368,0
New England Patriots,Indianapolis Colts,26,3,203,1,121,1
Jacksonville Jaguars,Las Vegas Raiders,27,20,403,1,321,1
Seattle Seahawks,Arizona Cardinals,31,21,421,1,262,1
Tampa Bay Buccaneers,Los Angeles Rams,16,13,323,0,206,0
Kansas City Chiefs,Tennessee Titans,20,17,499,1,229,0
Baltimore Ravens,New Orleans Saints,27,13,319,0,243,1
Carolina Panthers,Atlanta Falcons,25,15,333,0,291,1
Tampa Bay Buccaneers,Seattle Seahawks,21,16,419,2,283,1
Minnesota Vikings,Buffalo Bills,33,30,481,2,486,4
Miami Dolphins,Cleveland Browns,39,17,491,0,297,1
Tennessee Titans,Denver Broncos,17,10,307,1,313,1
New York Giants,Houston Texans,24,16,367,0,387,2
Detroit Lions,Chicago Bears,31,30,323,0,408,1
Kansas City Chiefs,Jacksonville Jaguars,27,17,486,3,315,0
Pittsburgh Steelers,New Orleans Saints,20,10,379,0,186,2
Indianapolis Colts,Las Vegas Raiders,25,20,415,1,309,0
