Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
Green Bay Packers,Dallas Cowboys,31,28,415,2,421,2
Arizona Cardinals,Los Angeles Rams,27,17,298,0,256,2
San Francisco 49ers,Los Angeles Chargers,22,16,387,1,238,1
Washington Commanders,Philadelphia Eagles,32,21,330,2,264,4
Tennessee Titans,Green Bay Packers,27,17,408,1,271,0
Buffalo Bills,Cleveland Browns,31,23,357,0,396,1
Detroit Lions,New York Giants,31,18,325,0,413,3
Washington Commanders,Houston Texans,23,10,344,0,148,2
New England Patriots,New York Jets,10,3,297,0,103,0
Atlanta Falcons,Chicago Bears,27,24,280,2,288,1
Baltimore Ravens,Carolina Panthers,13,3,308,1,205,3
Philadelphia Eagles,Indianapolis Colts,17,16,314,2,284,1
New Orleans Saints,Los Angeles Rams,27,20,323,0,336,0
Las Vegas Raiders,Denver Broncos,22,16,407,0,320,0
Cincinnati Bengals,Pittsburgh Steelers,37,30,408,2,351,0
Dallas Cowboys,Minnesota Vikings,40,3,458,0,183,1
Kansas City Chiefs,Los Angeles Chargers,30,27,485,1,365,2
San Francisco 49ers,Arizona Cardinals,38,10,387,0,314,2
Buffalo Bills,Detroit Lions,28,25,401,1,326,2
Dallas Cowboys,New York Giants,28,20,430,2,300,0
Minnesota Vikings,New England Patriots,33,26,358,1,409,0
Cincinnati Bengals,Tennessee Titans,20,16,374,0,344,0
Cleveland Browns,Tampa Bay Buccaneers,23,17,367,1,325,0
Miami Dolphins,Houston Texans,30,15,339,1,210,3
Jacksonville Jaguars,Baltimore Ravens,28,27,332,1,415,2
Washington Commanders,Atlanta Falcons,19,13,314,1,332,1
Carolina Panthers,Denver Broncos,23,10,349,1,246,2
New York Jets,Chicago Bears,31,10,466,0,292,1
Las Vegas Raiders,Seattle Seahawks,40,34,576,2,372,2
Los Angeles Chargers,Arizona Cardinals,25,24,311,0,366,2
Kansas City Chiefs,Los Angeles Rams,26,10,437,2,198,2
San Francisco 49ers,New Orleans Saints,13,0,317,0,260,2
Philadelphia Eagles,Green Bay Packers,40,33,500,1,342,2
Pittsburgh Steelers,Indianapolis Colts,24,17,323,0,290,2
Buffalo Bills,New England Patriots,24,10,355,1,242,0
Cleveland Browns,Houston Texans,27,14,304,2,283,4
Baltimore Ravens,Denver Broncos,10,9,285,2,272,0
Detroit Lions,Jacksonville Jaguars,40,14,437,0,266,1
Minnesota Vikings,New York Jets,27,22,287,0,486,2
Washington Commanders,New York Giants,20,20,411,1,316,1
Philadelphia Eagles,Tennessee Titans,35,10,453,0,209,0
Pittsburgh Steelers,Atlanta Falcons,19,16,351,0,306,1
Green Bay Packers,Chicago Bears,28,19,357,0,409,3
San Francisco 49ers,Miami Dolphins,33,17,351,1,308,4
Seattle Seahawks,Los Angeles Rams,27,23,438,2,319,2
Cincinnati Bengals,Kansas City Chiefs,27,24,431,0,349,1
Las Vegas Raiders,Los Angeles Chargers,27,20,404,2,386,1
Dallas Cowboys,Indianapolis Colts,54,19,385,1,309,5
Tampa Bay Buccaneers,New Orleans Saints,17,16,350,2,298,0
Los Angeles Rams,Las Vegas Raiders,17,16,282,1,302,2
Buffalo Bills,New York Jets,20,12,232,0,309,2
Cincinnati Bengals,Cleveland Browns,23,10,363,1,344,1
Dallas Cowboys,Houston Texans,27,23,404,3,327,2
Detroit Lions,Minnesota Vikings,34,23,464,0,416,2
Jacksonville Jaguars,Tennessee Titans,36,22,428,0,364,4
Philadelphia Eagles,New York Giants,48,22,437,0,304,1
Baltimore Ravens,Pittsburgh Steelers,16,14,309,0,329,3
Kansas City Chiefs,Denver Broncos,34,28,431,3,320,2
Carolina Panthers,Seattle Seahawks,30,24,328,0,287,2
San Francisco 49ers,Tampa Bay Buccaneers,35,7,404,1,322,3
Los Angeles Chargers,Miami Dolphins,23,17,432,0,219,0
New England Patriots,Arizona Cardinals,27,13,328,1,323,2
San Francisco 49ers,Seattle Seahawks,21,13,381,0,277,1
Minnesota Vikings,Indianapolis Colts,39,36,518,3,341,1
Cleveland Browns,Baltimore Ravens,13,3,283,0,324,2
Buffalo Bills,Miami Dolphins,32,29,446,1,405,0
