Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
Arizona Cardinals,New York Giants,26,7,390,0,159,3
Tennessee Titans,Jacksonville Jaguars,31,10,454,1,354,1
Kansas City Chiefs,Miami Dolphins,33,27,448,4,367,1
Tampa Bay Buccaneers,Minnesota Vikings,26,14,303,0,335,1
Indianapolis Colts,Las Vegas Raiders,44,27,456,0,424,3
Seattle Seahawks,New York Jets,40,3,410,1,185,1
Los Angeles Chargers,Atlanta Falcons,20,17,345,1,319,3
Green Bay Packers,Detroit Lions,31,24,410,0,293,0
Philadelphia Eagles,New Orleans Saints,24,21,413,1,358,2
Washington Commanders,San Francisco 49ers,23,15,193,1,344,3
Buffalo Bills,Pittsburgh Steelers,26,15,334,2,224,2
Baltimore Ravens,Cleveland Browns,47,42,385,0,493,1
Los Angeles Chargers,Las Vegas Raiders,30,27,402,0,449,1
Buffalo Bills,Denver Broncos,48,19,534,1,255,1
Green Bay Packers,Carolina Panthers,24,16,291,0,364,1
Tampa Bay Buccaneers,Atlanta Falcons,31,27,416,0,369,0
Chicago Bears,Minnesota Vikings,33,27,397,1,407,1
Indianapolis Colts,Houston Texans,27,20,350,0,425,2
Dallas Cowboys,San Francisco 49ers,41,33,291,0,458,4
Tennessee Titans,Detroit Lions,46,25,463,0,430,3
Baltimore Ravens,Jacksonville Jaguars,40,14,409,1,267,1
Miami Dolphins,New England Patriots,22,12,383,1,303,1
Seattle Seahawks,Washington Commanders,20,15,302,1,353,2
Arizona Cardinals,Philadelphia Eagles,33,26,526,3,422,0
New York Jets,Los Angeles Rams,23,20,289,0,303,1
Kansas City Chiefs,New Orleans Saints,32,29,411,1,285,1
Cleveland Browns,New York Giants,20,6,392,0,288,0
Cincinnati Bengals,Pittsburgh Steelers,27,17,230,0,244,3
New Orleans Saints,Minnesota Vikings,52,33,583,2,364,0
Tampa Bay Buccaneers,Detroit Lions,47,7,588,0,186,2
San Francisco 49ers,Arizona Cardinals,20,12,398,1,350,2
Miami Dolphins,Las Vegas Raiders,26,25,383,0,418,1
Kansas City Chiefs,Atlanta Falcons,17,14,395,2,367,1
Chicago Bears,Jacksonville Jaguars,41,17,391,1,279,2
Cincinnati Bengals,Houston Texans,37,31,540,0,488,1
New York Jets,Cleveland Browns,23,16,333,0,299,2
Pittsburgh Steelers,Indianapolis Colts,28,24,354,0,365,2
Baltimore Ravens,New York Giants,27,13,432,1,269,0
Carolina Panthers,Washington Commanders,20,13,280,2,386,4
Los Angeles Chargers,Denver Broncos,19,16,316,0,396,2
Dallas Cowboys,Philadelphia Eagles,37,17,513,1,477,3
Seattle Seahawks,Los Angeles Rams,20,9,292,0,334,1
Green Bay Packers,Tennessee Titans,40,14,448,1,260,2
Buffalo Bills,New England Patriots,38,9,474,0,201,0
Tampa Bay Buccaneers,Atlanta Falcons,44,27,485,1,385,2
Buffalo Bills,Miami Dolphins,56,26,455,2,454,4
Baltimore Ravens,Cincinnati Bengals,38,3,525,1,195,2
Cleveland Browns,Pittsburgh Steelers,24,22,358,0,394,1
New York Giants,Dallas Cowboys,23,19,336,2,307,1
Minnesota Vikings,Detroit Lions,37,35,508,0,417,2
New England Patriots,New York Jets,28,14,404,0,350,2
New Orleans Saints,Carolina Panthers,33,7,347,0,320,5
Green Bay Packers,Chicago Bears,35,16,316,1,356,2
Indianapolis Colts,Jacksonville Jaguars,28,14,437,1,283,1
Los Angeles Rams,Arizona Cardinals,18,7,333,2,214,1
Las Vegas Raiders,Denver Broncos,32,31,465,4,446,0
Tennessee Titans,Houston Texans,41,38,492,1,457,1
Los Angeles Chargers,Kansas City Chiefs,38,21,416,0,268,1
Seattle Seahawks,San Francisco 49ers,26,23,280,0,328,1
Washington Commanders,Philadelphia Eagles,20,14,248,2,216,3
Buffalo Bills,Indianapolis Colts,27,24,397,0,472,0
Los Angeles Rams,Seattle Seahawks,30,20,333,0,278,2
Tampa Bay Buccaneers,Washington Commanders,31,23,507,1,375,1
Baltimore Ravens,Tennessee Titans,20,13,401,1,209,1
New Orleans Saints,Chicago Bears,21,9,385,1,239,0
Cleveland Browns,Pittsburgh Steelers,48,37,390,0,553,5
Green Bay Packers,Los Angeles Rams,32,18,484,0,244,0
Buffalo Bills,Baltimore Ravens,17,3,220,0,340,1
Kansas City Chiefs,Cleveland Browns,22,17,438,1,308,2
Tampa Bay Buccaneers,New Orleans Saints,30,20,316,0,294,4
Tampa Bay Buccaneers,Green Bay Packers,31,26,351,3,381,2
Kansas City Chiefs,Buffalo Bills,38,24,439,1,363,1
Tampa Bay Buccaneers,Kansas City Chiefs,31,9,340,0,350,2
