Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
Kansas City Chiefs,Houston Texans,34,20,369,0,360,1
Seattle Seahawks,Atlanta Falcons,38,25,383,0,506,2
Buffalo Bills,New York Jets,27,17,404,2,254,2
Las Vegas Raiders,Carolina Panthers,34,30,372,0,388,0
Chicago Bears,Detroit Lions,27,23,363,0,426,1
Baltimore Ravens,Cleveland Browns,38,6,381,1,306,3
Jacksonville Jaguars,Indianapolis Colts,27,20,241,0,445,2
Green Bay Packers,Minnesota Vikings,43,34,522,0,382,1
New England Patriots,Miami Dolphins,21,11,357,1,269,3
Washington Commanders,Philadelphia Eagles,27,17,239,0,265,3
Los Angeles Chargers,Cincinnati Bengals,16,13,362,0,295,2
Arizona Cardinals,San Francisco 49ers,24,20,404,1,366,0
New Orleans Saints,Tampa Bay Buccaneers,34,23,271,0,310,3
Los Angeles Rams,Dallas Cowboys,20,17,422,1,380,0
Pittsburgh Steelers,New York Giants,26,16,349,1,291,2
Tennessee Titans,Denver Broncos,16,14,377,0,323,1
Cleveland Browns,Cincinnati Bengals,35,30,434,1,353,1
Dallas Cowboys,Atlanta Falcons,40,39,570,3,380,0
Buffalo Bills,Miami Dolphins,31,28,523,1,410,0
Tampa Bay Buccaneers,Carolina Panthers,31,17,339,2,427,4
Chicago Bears,New York Giants,17,13,304,2,295,2
Indianapolis Colts,Minnesota Vikings,28,11,354,1,175,3
Pittsburgh Steelers,Denver Broncos,26,21,410,2,319,2
Green Bay Packers,Detroit Lions,42,21,488,0,307,1
Tennessee Titans,Jacksonville Jaguars,33,30,354,0,480,2
San Francisco 49ers,New York Jets,31,13,359,1,277,0
Los Angeles Rams,Philadelphia Eagles,37,19,449,1,363,3
Arizona Cardinals,Washington Commanders,30,15,438,1,316,2
Baltimore Ravens,Houston Texans,33,16,407,0,304,2
Kansas City Chiefs,Los Angeles Chargers,23,20,414,0,479,1
Seattle Seahawks,New England Patriots,35,30,429,1,464,1
Las Vegas Raiders,New Orleans Saints,34,24,377,1,424,1
Miami Dolphins,Jacksonville Jaguars,31,13,294,0,318,2
Chicago Bears,Atlanta Falcons,30,26,437,2,371,1
Buffalo Bills,Los Angeles Rams,35,32,375,2,478,2
Philadelphia Eagles,Cincinnati Bengals,23,23,378,2,304,0
Cleveland Browns,Washington Commanders,34,20,300,0,309,5
Pittsburgh Steelers,Houston Texans,28,21,387,0,260,1
Tennessee Titans,Minnesota Vikings,31,30,444,1,464,3
New England Patriots,Las Vegas Raiders,36,20,406,1,375,3
San Francisco 49ers,New York Giants,36,9,420,0,231,3
Carolina Panthers,Los Angeles Chargers,21,16,302,0,436,4
Indianapolis Colts,New York Jets,36,7,353,0,260,3
Detroit Lions,Arizona Cardinals,26,23,322,0,377,3
Seattle Seahawks,Dallas Cowboys,38,31,412,1,522,3
Tampa Bay Buccaneers,Denver Broncos,28,10,353,0,226,2
Green Bay Packers,New Orleans Saints,37,30,369,0,397,1
Kansas City Chiefs,Baltimore Ravens,34,20,517,1,228,1
Denver Broncos,New York Jets,37,28,359,3,321,0
Carolina Panthers,Arizona Cardinals,31,21,444,1,262,1
Indianapolis Colts,Chicago Bears,19,11,289,0,269,1
Cincinnati Bengals,Jacksonville Jaguars,33,25,505,1,429,1
Cleveland Browns,Dallas Cowboys,49,38,508,0,566,3
New Orleans Saints,Detroit Lions,35,29,392,1,281,1
Minnesota Vikings,Houston Texans,31,23,410,0,386,1
Seattle Seahawks,Miami Dolphins,31,23,441,1,415,2
Baltimore Ravens,Washington Commanders,31,17,350,2,343,1
Tampa Bay Buccaneers,Los Angeles Chargers,38,31,484,1,324,2
Los Angeles Rams,New York Giants,17,9,240,1,295,1
Buffalo Bills,Las Vegas Raiders,30,23,337,0,383,2
Philadelphia Eagles,San Francisco 49ers,25,20,267,1,417,3
Kansas City Chiefs,New England Patriots,26,10,323,1,357,4
Green Bay Packers,Atlanta Falcons,30,16,403,0,327,0
Chicago Bears,Tampa Bay Buccaneers,20,19,243,1,339,1
Carolina Panthers,Atlanta Falcons,23,16,437,0,373,1
Baltimore Ravens,Cincinnati Bengals,27,3,332,1,205,3
Arizona Cardinals,New York Jets,30,10,496,1,285,0
Houston Texans,Jacksonville Jaguars,30,14,486,2,364,2
Las Vegas Raiders,Kansas City Chiefs,40,32,490,1,413,1
Pittsburgh Steelers,Philadelphia Eagles,38,29,367,1,336,2
Los Angeles Rams,Washington Commanders,30,10,429,1,108,0
Miami Dolphins,San Francisco 49ers,43,17,436,0,259,3
Cleveland Browns,Indianapolis Colts,32,23,385,2,308,2
Dallas Cowboys,New York Giants,37,34,402,2,300,1
Seattle Seahawks,Minnesota Vikings,27,26,314,1,449,2
New Orleans Saints,Los Angeles Chargers,30,27,408,1,350,0
Tennessee Titans,Buffalo Bills,42,16,334,0,370,3
Denver Broncos,New England Patriots,18,12,299,2,288,3
Detroit Lions,Jacksonville Jaguars,34,16,403,1,275,2
Atlanta Falcons,Minnesota Vikings,40,23,462,1,365,3
Chicago Bears,Carolina Panthers,23,16,261,1,303,3
Indianapolis Colts,Cincinnati Bengals,31,27,430,2,398,1
Pittsburgh Steelers,Cleveland Browns,38,7,277,0,220,2
Tennessee Titans,Houston Texans,42,36,607,2,412,0
New York Giants,Washington Commanders,20,19,240,1,337,2
Baltimore Ravens,Philadelphia Eagles,30,28,355,0,364,1
Miami Dolphins,New York Jets,24,0,302,2,263,1
Tampa Bay Buccaneers,Green Bay Packers,38,10,324,0,201,2
San Francisco 49ers,Los Angeles Rams,24,16,390,0,311,1
Kansas City Chiefs,Buffalo Bills,26,17,466,1,206,1
Arizona Cardinals,Dallas Cowboys,38,10,438,0,344,4
Philadelphia Eagles,New York Giants,22,21,442,1,325,3
Green Bay Packers,Houston Texans,35,20,379,0,365,1
Pittsburgh Steelers,Tennessee Titans,27,24,362,3,292,0
Detroit Lions,Atlanta Falcons,23,22,386,0,388,1
Buffalo Bills,New York Jets,18,10,422,1,191,2
New Orleans Saints,Carolina Panthers,27,24,415,1,283,0
Cleveland Browns,Cincinnati Bengals,37,34,398,1,468,2
Washington Commanders,Dallas Cowboys,25,3,397,0,142,1
Tampa Bay Buccaneers,Las Vegas Raiders,45,20,454,0,347,1
Kansas City Chiefs,Denver Broncos,43,16,286,1,411,4
San Francisco 49ers,New England Patriots,33,6,467,2,241,4
Los Angeles Chargers,Jacksonville Jaguars,39,29,484,0,294,1
Arizona Cardinals,Seattle Seahawks,37,34,519,2,572,3
Los Angeles Rams,Chicago Bears,24,10,371,1,279,2
Atlanta Falcons,Carolina Panthers,25,17,401,1,304,1
Indianapolis Colts,Detroit Lions,41,21,366,0,326,2
Minnesota Vikings,Green Bay Packers,28,22,324,0,400,1
Miami Dolphins,Los Angeles Rams,28,17,145,2,471,4
Pittsburgh Steelers,Baltimore Ravens,28,24,221,1,457,4
Buffalo Bills,New England Patriots,24,21,339,1,349,1
Cincinnati Bengals,Tennessee Titans,31,20,367,0,441,1
Las Vegas Raiders,Cleveland Browns,16,6,309,0,223,1
Kansas City Chiefs,New York Jets,35,9,496,0,221,1
Denver Broncos,Los Angeles Chargers,31,30,351,1,485,2
Seattle Seahawks,San Francisco 49ers,37,27,350,0,351,2
New Orleans Saints,Chicago Bears,26,23,394,0,329,1
Philadelphia Eagles,Dallas Cowboys,23,9,222,4,265,2
Tampa Bay Buccaneers,New York Giants,25,23,344,1,357,2
Green Bay Packers,San Francisco 49ers,34,17,405,0,337,2
Baltimore Ravens,Indianapolis Colts,24,10,266,1,339,2
Minnesota Vikings,Detroit Lions,34,20,487,0,421,3
Houston Texans,Jacksonville Jaguars,27,25,374,1,403,1
Atlanta Falcons,Denver Broncos,34,27,363,1,405,1
Buffalo Bills,Seattle Seahawks,44,34,420,0,419,4
Kansas City Chiefs,Carolina Panthers,33,31,397,1,435,0
Tennessee Titans,Chicago Bears,24,17,228,0,375,2
New York Giants,Washington Commanders,23,20,350,0,402,5
Las Vegas Raiders,Los Angeles Chargers,31,26,320,1,440,1
Miami Dolphins,Arizona Cardinals,34,31,312,0,442,1
Pittsburgh Steelers,Dallas Cowboys,24,19,355,0,364,2
New Orleans Saints,Tampa Bay Buccaneers,38,3,420,2,194,3
New England Patriots,New York Jets,30,27,433,0,322,1
Indianapolis Colts,Tennessee Titans,34,17,430,0,294,0
Cleveland Browns,Houston Texans,10,7,356,0,243,0
Detroit Lions,Washington Commanders,30,27,372,0,464,1
Green Bay Packers,Jacksonville Jaguars,24,20,395,2,260,1
Tampa Bay Buccaneers,Carolina Panthers,46,23,544,1,187,1
New York Giants,Philadelphia Eagles,27,17,382,0,346,0
Las Vegas Raiders,Denver Broncos,37,12,357,0,313,5
Miami Dolphins,Los Angeles Chargers,29,21,280,1,273,1
Arizona Cardinals,Buffalo Bills,32,30,453,2,369,2
Pittsburgh Steelers,Cincinnati Bengals,36,10,377,0,324,2
New Orleans Saints,San Francisco 49ers,27,13,237,2,281,4
Los Angeles Rams,Seattle Seahawks,23,16,389,1,333,3
New England Patriots,Baltimore Ravens,23,17,308,0,357,1
Minnesota Vikings,Chicago Bears,19,13,385,2,149,2
Seattle Seahawks,Arizona Cardinals,28,21,347,0,314,0
New Orleans Saints,Atlanta Falcons,24,9,376,1,248,2
Washington Commanders,Cincinnati Bengals,20,9,325,1,272,2
Cleveland Browns,Philadelphia Eagles,22,17,324,1,315,3
Houston Texans,New England Patriots,27,20,399,0,435,0
Pittsburgh Steelers,Jacksonville Jaguars,27,3,373,1,206,4
Tennessee Titans,Baltimore Ravens,30,24,423,1,306,1
Carolina Panthers,Detroit Lions,20,0,374,2,185,1
Denver Broncos,Miami Dolphins,20,13,459,2,223,1
Los Angeles Chargers,New York Jets,34,28,376,1,292,1
Indianapolis Colts,Green Bay Packers,34,31,420,2,367,4
Dallas Cowboys,Minnesota Vikings,31,28,376,1,430,2
Kansas City Chiefs,Las Vegas Raiders,35,31,460,1,364,1
Los Angeles Rams,Tampa Bay Buccaneers,27,24,413,2,251,2
Houston Texans,Detroit Lions,41,25,384,1,388,3
Washington Commanders,Dallas Cowboys,41,16,338,1,247,2
Atlanta Falcons,Las Vegas Raiders,43,6,304,1,243,5
Buffalo Bills,Los Angeles Chargers,27,17,332,3,367,1
New York Giants,Cincinnati Bengals,19,17,386,1,155,3
Cleveland Browns,Jacksonville Jaguars,27,25,459,1,375,0
Tennessee Titans,Indianapolis Colts,45,26,449,0,336,1
New England Patriots,Arizona Cardinals,20,17,179,2,298,1
Miami Dolphins,New York Jets,20,3,345,2,260,2
Minnesota Vikings,Carolina Panthers,28,27,387,3,374,1
New Orleans Saints,Denver Broncos,31,3,292,1,112,3
San Francisco 49ers,Los Angeles Rams,23,20,345,3,308,4
Kansas City Chiefs,Tampa Bay Buccaneers,27,24,543,1,417,2
Green Bay Packers,Chicago Bears,41,25,393,0,350,3
Seattle Seahawks,Philadelphia Eagles,23,17,301,0,250,1
Pittsburgh Steelers,Baltimore Ravens,19,14,334,2,219,2
New Orleans Saints,Atlanta Falcons,21,16,424,1,332,1
Detroit Lions,Chicago Bears,34,30,460,1,389,1
Miami Dolphins,Cincinnati Bengals,19,7,406,1,196,2
Cleveland Browns,Tennessee Titans,41,35,458,1,431,3
Indianapolis Colts,Houston Texans,26,20,371,0,398,2
Minnesota Vikings,Jacksonville Jaguars,27,24,420,2,390,4
Las Vegas Raiders,New York Jets,31,28,440,2,376,3
Los Angeles Rams,Arizona Cardinals,38,28,463,1,232,2
New York Giants,Seattle Seahawks,17,12,290,1,327,2
Green Bay Packers,Philadelphia Eagles,30,16,437,0,278,1
New England Patriots,Los Angeles Chargers,45,0,291,0,258,2
Kansas City Chiefs,Denver Broncos,22,16,447,0,330,2
Washington Commanders,Pittsburgh Steelers,23,17,318,0,326,1
Buffalo Bills,San Francisco 49ers,34,24,449,1,402,2
Baltimore Ravens,Dallas Cowboys,34,17,401,1,388,1
Los Angeles Rams,New England Patriots,24,3,318,1,220,1
Denver Broncos,Carolina Panthers,32,27,365,1,370,0
Chicago Bears,Houston Texans,36,7,410,0,263,2
Dallas Cowboys,Cincinnati Bengals,30,7,272,0,309,3
